bairro;setor_territorial;loteamentos;fonte;snapshot
Jardim sul;Sul;Jardim das Acácias (parte) | Acácias Uberlândia (parte) | Village Karaíba | Bosque Karaíba (parte) | The Palms House e Club | Cyrela Landscape Residencial dos Ipês | Cyrela Landscape Residencial dos Buritis | Jardim Sul | Terras Altas | Golden Village | Parque Bela Vista | Alto Karaíba;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Lagoinha;Sul;Jardim Ozanam (parte) | Setor da Vila Saraiva 1 – Jeová de Oliveira (parte)* | Setor da Vila Saraiva – Prolongamento 1 – Joaquim Saraiva (parte)* | Leão XIII (parte)* | Vila Saraiva – Ampliação - Fábio Felice* | Vila Saraiva II – Sete Quedas – Cosme Lúcio de Paula e José Léllis* | Vila Saraiva – Prolongamento II – Imobiliária Tubal Vilela S/A*;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Laranjeiras;Sul;Primavera Parque | Parque São Jorge I (parte) | Parque São Jorge II | Parque São Jorge IV | Parque das Laranjeiras | Parque das Paineiras | Jardim Veneza | Jardim Aurora- Setor A | Jardim Aurora- Setor B | Jardim Espanha | Splêndido | GSP Life Uberlândia | GSP Artes Uberlândia | Central Park e Condomínio Urbanístico Manhattan | Colorado | Tropical Sul | Brisa 1 | (continuação);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Lídice;Central;Vila Ribeirinho* | Ribeirinho * | Vila Dr. Vasco Gifone (parte)* | Vila Póvoa (parte)* | Tobias Inácio* | Altamira I (parte);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Luizote de Freitas;Oeste;Luizote de Freitas I - 1ª Etapa | Freitas | Luizote de Freitas I – 2ª Etapa * | Luizote de Freitas I – 3ª Etapa * | Luizote de Freitas II – 1ª Etapa* | Luizote de Freitas II – 2ª Etapa | Luizote de Freitas III | Residencial Nosso Lar | (continuação);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Mansour;Oeste;Mansour I | Cidade Verde I (parte) | Cidade verde II;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Maravilha;Norte;Dona Maria Rezende | Maravilha – Setor B;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Marta Helena;Norte;Marta Helena (parte)* | Jacob | Jardim Umuarama (parte) | Das Indústrias*;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Martins;Central;Vila de Fátima I (parte)* | Vila de Fátima II (parte)* | Vila Higino Guerra I* | Vila Higino Guerra II | Vila Higino Guerra III | Vila Osvaldo (parte)* | Custódio da Costa Pereira (parte)* | Galeno de Andrade Santos*;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Minas Gerais;Norte;Flamboyant Residencial | Jardim Umuarama (parte) | Marta Helena (parte)* | Novo Umuarama | Boulevard Mineiro | Minas Brasil | Jardim Umuarama II – Prolongamento Gleba D | Jardim umuarama II – Prolongamento Gleba E;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
