grupo;id;url_fonte;bairro;area_total_m2;valor_anunciado
17;zapim-2831648230;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-europa-uberlandia-mg-5582m2-id-2831648230/;Jardim Europa;5581,6;2800000
17;zapim-2835522425;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-europa-uberlandia-mg-5581m2-id-2835522425/;Jardim Europa;5581;2600000
17;zapim-2837292978;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-europa-uberlandia-mg-5581m2-id-2837292978/;Jardim Europa;5581;2888000
17;zapim-2867781969;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-europa-uberlandia-mg-5581m2-id-2867781969/;Jardim Europa;5581;2600000
17;vivar-2636402074;https://www.vivareal.com.br/imovel/lote-terreno-jardim-europa-bairros-uberlandia-5582m2-venda-RS2600000-id-2636402074/;Jardim Europa;5581,6;2600000
17;vivar-2831648230;https://www.vivareal.com.br/imovel/lote-terreno-jardim-europa-bairros-uberlandia-5582m2-venda-RS2800000-id-2831648230/;Jardim Europa;5581,6;2800000
17;vivar-2867781969;https://www.vivareal.com.br/imovel/lote-terreno-jardim-europa-bairros-uberlandia-5581m2-venda-RS2600000-id-2867781969/;Jardim Europa;5581;2600000
18;ivann-76645;https://www.ivannegocios.com.br/comprar/Uberlandia/Terreno/Condominio/Shopping-Park/76645;Shopping Park;5000;2000000
18;zapim-2636403381;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-shopping-park-uberlandia-mg-5000m2-id-2636403381/;Shopping Park;5000;2000000
18;zapim-2636403382;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-shopping-park-uberlandia-mg-5000m2-id-2636403382/;Shopping Park;5000;1250000
18;zapim-2733394919;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-shopping-park-uberlandia-mg-5000m2-id-2733394919/;Shopping Park;5000;1800000
18;zapim-2895652895;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-shopping-park-uberlandia-mg-5000m2-id-2895652895/;Shopping Park;5000;2000000
18;vivar-2636403381;https://www.vivareal.com.br/imovel/lote-terreno-shopping-park-bairros-uberlandia-5000m2-venda-RS2000000-id-2636403381/;Shopping Park;5000;2000000
18;vivar-2636403382;https://www.vivareal.com.br/imovel/lote-terreno-shopping-park-bairros-uberlandia-5000m2-venda-RS1250000-id-2636403382/;Shopping Park;5000;1250000
18;vivar-2895652895;https://www.vivareal.com.br/imovel/lote-terreno-shopping-park-bairros-uberlandia-5000m2-venda-RS2000000-id-2895652895/;Shopping Park;5000;2000000
19;ivann-76913;https://www.ivannegocios.com.br/comprar/Uberlandia/Terreno/Condominio/Mansoes-Aeroporto/76913;Mansoes Aeroporto;5500;1290000
19;zapim-2872908540;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-mansoes-aeroporto-uberlandia-mg-5500m2-id-2872908540/;Mansões Aeroporto;5500;1290000
19;vivar-2872908540;https://www.vivareal.com.br/imovel/lote-terreno-mansoes-aeroporto-bairros-uberlandia-5500m2-venda-RS1290000-id-2872908540/;Mansões Aeroporto;5500;1290000
20;guinz-554;https://www.guinzaimoveis.com.br/imovel/area-a-venda-20000m2-distrito-industrial-uberlandia-mg-id-554;Distrito Industrial;20000;3000000
20;zapim-2897369786;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-distrito-industrial-uberlandia-mg-20000m2-id-2897369786/;Distrito Industrial;20000;8000000
20;vivar-2897369786;https://www.vivareal.com.br/imovel/lote-terreno-distrito-industrial-bairros-uberlandia-20000m2-venda-RS8000000-id-2897369786/;Distrito Industrial;20000;8000000
21;zapim-2575761586;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-1-quarto-chacaras-tubalina-e-quartel-uberlandia-mg-5220m2-id-2575761586/;Chácaras Tubalina E Quartel;5220;2650000
21;vivar-2575761586;https://www.vivareal.com.br/imovel/lote-terreno-1-quartos-chacaras-tubalina-e-quartel-bairros-uberlandia-5220m2-venda-RS2650000-id-2575761586/;Chácaras Tubalina E Quartel;5220;2650000
22;zapim-2575762508;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-chacaras-tubalina-e-quartel-uberlandia-mg-12000m2-id-2575762508/;Chácaras Tubalina E Quartel;12000;13200000
22;zapim-2754958605;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-cozinha-chacaras-tubalina-e-quartel-uberlandia-mg-12000m2-id-2754958605/;Chácaras Tubalina E Quartel;12000;12000000
22;vivar-2754958605;https://www.vivareal.com.br/imovel/lote-terreno-chacaras-tubalina-e-quartel-bairros-uberlandia-12000m2-venda-RS12000000-id-2754958605/;Chácaras Tubalina E Quartel;12000;12000000
23;zapim-2616404094;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jockey-camping-uberlandia-mg-5000m2-id-2616404094/;Jóckey Camping;5000;350000
23;zapim-2877422948;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jockey-camping-uberlandia-mg-5000m2-id-2877422948/;Jóckey Camping;5000;500000
23;zapim-2901773051;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jockey-camping-uberlandia-mg-5000m2-id-2901773051/;Jóckey Camping;5000;329810
23;vivar-2616404094;https://www.vivareal.com.br/imovel/lote-terreno-jockey-camping-bairros-uberlandia-5000m2-venda-RS350000-id-2616404094/;Jóckey Camping;5000;350000
23;vivar-2877422948;https://www.vivareal.com.br/imovel/lote-terreno-jockey-camping-bairros-uberlandia-5000m2-venda-RS500000-id-2877422948/;Jóckey Camping;5000;500000
24;zapim-2628500284;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-alto-umuarama-uberlandia-mg-250000m2-id-2628500284/;Alto Umuarama;250000;265000
24;vivar-2628500284;https://www.vivareal.com.br/imovel/lote-terreno-alto-umuarama-bairros-uberlandia-250000m2-venda-RS265000-id-2628500284/;Alto Umuarama;250000;265000
25;zapim-2654712261;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-gavea-uberlandia-mg-5000m2-id-2654712261/;Gávea;5000;1500000
25;vivar-2654712261;https://www.vivareal.com.br/imovel/lote-terreno-gavea-bairros-uberlandia-5000m2-venda-RS1500000-id-2654712261/;Gávea;5000;1500000
26;zapim-2657434492;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-cozinha-parque-das-andorinhas-uberlandia-mg-32500m2-id-2657434492/;Parque das Andorinhas;32500;2200000
26;zapim-2745355007;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-parque-das-andorinhas-uberlandia-mg-32500m2-id-2745355007/;Parque das Andorinhas;32500;2200000
26;vivar-2657434492;https://www.vivareal.com.br/imovel/lote-terreno-parque-das-andorinhas-bairros-uberlandia-32500m2-venda-RS2200000-id-2657434492/;Parque das Andorinhas;32500;2200000
26;vivar-2745355007;https://www.vivareal.com.br/imovel/lote-terreno-parque-das-andorinhas-bairros-uberlandia-32500m2-venda-RS2200000-id-2745355007/;Parque das Andorinhas;32500;2200000
27;zapim-2673655714;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-morada-do-sol-uberlandia-mg-5826m2-id-2673655714/;Morada do Sol;5826,25;1420000
27;vivar-2673655714;https://www.vivareal.com.br/imovel/lote-terreno-morada-do-sol-bairros-uberlandia-5826m2-venda-RS1420000-id-2673655714/;Morada do Sol;5826,25;1420000
28;zapim-2701356798;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-morada-do-sol-uberlandia-mg-5456m2-id-2701356798/;Morada do Sol;5456;1600000
28;zapim-2811470559;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-1-quarto-com-piscina-morada-do-sol-uberlandia-mg-5400m2-id-2811470559/;Morada do Sol;5456,25;1700000
28;zapim-2831648550;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-morada-do-sol-uberlandia-mg-5456m2-id-2831648550/;Morada do Sol;5456;1700000
28;zapim-2873756329;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-morada-do-sol-uberlandia-mg-5456m2-id-2873756329/;Morada do Sol;5456,25;1700000
28;zapim-2875883875;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-piscina-morada-do-sol-uberlandia-mg-5456m2-id-2875883875/;Morada do Sol;5456,25;1700000
28;vivar-2701356798;https://www.vivareal.com.br/imovel/lote-terreno-morada-do-sol-bairros-uberlandia-5456m2-venda-RS1600000-id-2701356798/;Morada do Sol;5456;1600000
28;vivar-2831648550;https://www.vivareal.com.br/imovel/lote-terreno-morada-do-sol-bairros-uberlandia-5456m2-venda-RS1700000-id-2831648550/;Morada do Sol;5456;1700000
29;zapim-2725002184;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-tubalina-uberlandia-mg-6000m2-id-2725002184/;Tubalina;6000;1500000
29;zapim-2895651394;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-tubalina-uberlandia-mg-6058m2-id-2895651394/;Tubalina;6058;1500000
29;zapim-2900148305;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-tv-a-cabo-tubalina-uberlandia-mg-6000m2-id-2900148305/;Tubalina;6000;6000000
29;vivar-2725002184;https://www.vivareal.com.br/imovel/lote-terreno-tubalina-bairros-uberlandia-6000m2-venda-RS1500000-id-2725002184/;Tubalina;6000;1500000
29;vivar-2895651394;https://www.vivareal.com.br/imovel/lote-terreno-tubalina-bairros-uberlandia-6058m2-venda-RS1500000-id-2895651394/;Tubalina;6058;1500000
29;vivar-2900148305;https://www.vivareal.com.br/imovel/lote-terreno-tubalina-bairros-uberlandia-6000m2-venda-RS6000000-id-2900148305/;Tubalina;6000;6000000
30;zapim-2777482302;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-cozinha-panorama-uberlandia-mg-10000m2-id-2777482302/;Panorama;10000;12000000
30;vivar-2777482302;https://www.vivareal.com.br/imovel/lote-terreno-panorama-bairros-uberlandia-10000m2-venda-RS12000000-id-2777482302/;Panorama;10000;12000000
31;zapim-2777483455;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-cozinha-jardim-holanda-uberlandia-mg-10710m2-id-2777483455/;Jardim Holanda;10710;12000000
31;zapim-2860250909;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-holanda-uberlandia-mg-10710m2-id-2860250909/;Jardim Holanda;10710,3;12000000
