fetched_at;url;final_url;http_status;bytes;robots;arquivo;erro
2026-07-29T03:06:26+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Mansoes-Aeroporto/51089;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Mansoes-Aeroporto/51089;200;139433;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_51089_950429d5.html;
2026-07-29T03:06:29+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Santa-Luzia/37160;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Santa-Luzia/37160;200;147262;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_37160_680f918c.html;
2026-07-29T03:06:32+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Custodio-Pereira/28338;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Custodio-Pereira/28338;200;143382;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_28338_c5693a85.html;
2026-07-29T03:06:35+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Tibery/16351;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Tibery/16351;200;132955;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_16351_09ffd415.html;
2026-07-29T03:06:38+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Sao-Jorge/52932;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Sao-Jorge/52932;200;173170;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52932_212bfcc4.html;
2026-07-29T03:06:43+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Grand-Ville/52931;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Grand-Ville/52931;200;164312;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52931_e687cd90.html;
2026-07-29T03:06:47+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Praca-Alto-Umuarama/52930;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Praca-Alto-Umuarama/52930;200;168824;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52930_295f9eee.html;
2026-07-29T03:06:50+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52927;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52927;200;175998;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52927_5bd41da8.html;
2026-07-29T03:06:54+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Casa-Residencial/Padrao/Daniel-Fonseca/52916;https://www.deltaimoveis.com.br/comprar/Uberlandia/Casa-Residencial/Padrao/Daniel-Fonseca/52916;200;189933;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52916_b94cbcb3.html;
2026-07-29T03:06:58+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52915;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52915;200;196263;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52915_8a9742f0.html;
2026-07-29T03:07:02+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52914;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52914;200;196588;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52914_e6ac51d7.html;
2026-07-29T03:07:05+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52913;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52913;200;196615;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52913_4575beb6.html;
2026-07-29T03:07:10+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52912;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52912;200;196271;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52912_6c3d9da5.html;
2026-07-29T03:07:13+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52911;;;0;ok (robots 200);;ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-07-29T03:07:16+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52910;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52910;200;194554;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52910_644f988d.html;
2026-07-29T03:07:20+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52909;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52909;200;194781;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52909_3675ea5c.html;
2026-07-29T03:07:24+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52908;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52908;200;191676;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52908_bbe6013c.html;
2026-07-29T03:07:28+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52907;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52907;200;194371;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52907_cec84878.html;
2026-07-29T03:07:33+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52906;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52906;200;189793;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52906_1fe6ceea.html;
2026-07-29T03:07:37+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52905;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52905;200;193407;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52905_aa03d7c0.html;
2026-07-29T03:07:41+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52904;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52904;200;192318;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52904_1db14452.html;
2026-07-29T03:07:44+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52903;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52903;200;189880;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52903_4f63db60.html;
2026-07-29T03:07:48+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52902;https://www.deltaimoveis.com.br/comprar/Uberlandia/Apartamento/Padrao/Santa-Monica/52902;200;190390;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52902_8cd4f503.html;
2026-07-29T03:07:52+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Casa-Residencial/Padrao/Novo-Mundo/52899;https://www.deltaimoveis.com.br/comprar/Uberlandia/Casa-Residencial/Padrao/Novo-Mundo/52899;200;180882;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52899_34eebadb.html;
